,id,serverId,isScheduled,inProcess,isServed,arrivalTime,scheduledTime,processingTime,finishTime,serviceTime,waitTime
0,C0,5,True,False,True,4.77,4.77,4.7799999999999425,11.88,7.1,0.01
1,C1,9,True,False,True,6.12,6.12,6.129999999999914,22.53,16.4,0.01
2,C2,7,True,False,True,7.15,7.15,7.153586254872329,14.53,7.38,0.01
3,C3,14,True,False,True,10.35,10.36,10.369999999999823,66.45,56.08,0.02
4,C4,7,True,False,True,15.44,15.44,15.44196201229461,33.72,18.28,0.01
5,C5,12,True,False,True,17.64,17.64,17.644333393849028,27.49,9.85,0.01
6,C6,1,True,False,True,33.44,33.45,33.456944876280936,114.5,81.04,0.02
7,C7,5,True,False,True,38.06,38.06,38.06683736658241,49.39,11.32,0.01
8,C8,12,True,False,True,40.68,40.69,40.69643746010702,112.84,72.14,0.01
9,C9,10,True,False,True,42.67,42.68,42.682468218065246,44.01,1.33,0.01
10,C10,10,True,False,True,44.35,44.36,44.36413400770178,81.2,36.84,0.01
11,C11,5,True,False,True,49.58,49.58,49.58853615955893,69.43,19.84,0.01
12,C12,31,True,False,True,51.89,51.89,51.89713983953899,69.52,17.62,0.01
13,C13,33,True,False,True,52.13,52.14,52.149999999998194,53.26,1.11,0.02
14,C14,34,True,False,True,54.16,54.17,54.17999999999779,55.43,1.25,0.02
15,C15,22,True,False,True,59.52,59.53,59.534312737700915,71.67,12.14,0.01
16,C16,2,True,False,True,60.33,60.33,60.334805087563744,148.53,88.19,0.01
17,C17,26,True,False,True,61.1,61.1,61.10799110375878,89.95,28.84,0.01
18,C18,33,True,False,True,64.13,64.14,64.14899169418617,77.96,13.81,0.02
19,C19,14,True,False,True,67.17,67.17,67.17590613386811,95.58,28.4,0.01
20,C20,31,True,False,True,71.19,71.2,71.20867952280528,78.13,6.93,0.02
21,C21,33,True,False,True,78.77,78.77,78.77652430271428,84.19,5.41,0.01
22,C22,10,True,False,True,83.92,83.93,83.93612544321724,97.41,13.47,0.01
23,C23,5,True,False,True,87.7,87.7,87.70449818343938,147.42,59.71,0.01
24,C24,31,True,False,True,92.83,92.83,92.83554443024858,114.2,21.36,0.01
25,C25,36,True,False,True,94.39,94.39,94.39685467783843,104.96,10.57,0.01
26,C26,14,True,False,True,96.18,96.19,96.19662903635599,186.22,90.02,0.01
27,C27,39,True,False,True,97.22,97.22,97.22338343503698,148.0,50.78,0.0
28,C28,40,True,False,True,98.61,98.61,98.62000000001355,110.32,11.7,0.01
29,C29,43,True,False,True,102.6,102.6,102.61000000001559,209.98,107.37,0.01
30,C30,44,True,False,True,102.98,102.99,103.00000000001579,234.11,131.11,0.02
31,C31,18,True,False,True,105.26,105.26,105.26967968807087,121.03,15.76,0.01
32,C32,17,True,False,True,107.51,107.52,107.52393193522394,139.53,32.01,0.01
33,C33,25,True,False,True,110.24,110.24,110.24115667743041,125.85,15.61,0.01
34,C34,6,True,False,True,112.45,112.46,112.46993026360443,121.4,8.93,0.02
35,C35,12,True,False,True,113.95,113.96,113.96984352313187,116.56,2.59,0.02
36,C36,24,True,False,True,116.17,116.18,116.18975429907049,125.37,9.18,0.01
37,C37,12,True,False,True,125.13,125.13,125.13897811668697,134.64,9.5,0.01
38,C38,9,True,False,True,136.67,136.68,136.68944021599603,151.95,15.26,0.02
39,C39,21,True,False,True,139.46,139.46,139.4600130889291,145.59,6.13,0.0
40,C40,37,True,False,True,143.37,143.37,143.3768028268795,235.63,92.26,0.01
41,C41,40,True,False,True,143.86,143.87,143.87136552791821,147.13,3.26,0.01
42,C42,32,True,False,True,145.39,145.39,145.39916455315003,174.84,29.44,0.01
43,C43,5,True,False,True,147.53,147.54,147.54520498443256,165.03,17.49,0.01
44,C44,31,True,False,True,155.58,155.59,155.59275486425693,172.12,16.52,0.01
45,C45,38,True,False,True,156.73,156.74,156.74750763547655,170.7,13.96,0.01
46,C46,17,True,False,True,159.37,159.38,159.38792821991737,220.21,60.82,0.02
47,C47,8,True,False,True,176.32,176.33,176.33418053352298,186.21,9.88,0.01
48,C48,29,True,False,True,179.25,179.26,179.26222536907235,179.89,0.62,0.01
49,C49,38,True,False,True,183.05,183.06,183.06356847798716,258.13,75.07,0.01
50,C50,30,True,False,True,183.57,183.57,183.5700049602267,243.53,59.96,0.0
51,C51,1,True,False,True,190.57,190.57,190.57850913733407,200.3,9.73,0.01
52,C52,12,True,False,True,194.26,194.27,194.27370669287464,216.51,22.24,0.01
53,C53,22,True,False,True,197.41,197.42,197.4286358105082,200.89,3.47,0.01
54,C54,13,True,False,True,199.09,199.1,199.10877402112195,202.05,2.94,0.02
55,C55,1,True,False,True,200.54,200.55,200.5548160169586,255.06,54.51,0.01
56,C56,7,True,False,True,202.7,202.71,202.71424033493355,218.56,15.84,0.01
57,C57,8,True,False,True,207.28,207.28,207.28767281389366,239.8,32.52,0.01
58,C58,19,True,False,True,215.61,215.61,215.61878282373894,301.67,86.05,0.01
59,C59,18,True,False,True,218.47,218.47,218.4774894475307,226.91,8.44,0.01
60,C60,12,True,False,True,222.89,222.9,222.9036911716637,223.3,0.4,0.01
61,C61,14,True,False,True,226.42,226.42,226.42611253495912,227.16,0.73,0.01
62,C62,20,True,False,True,230.34,230.35,230.35041827550072,267.42,37.07,0.01
63,C63,3,True,False,True,234.83,234.84,234.84027044168977,312.37,77.53,0.01
64,C64,24,True,False,True,242.22,242.23,242.23066432455528,261.13,18.9,0.01
65,C65,26,True,False,True,242.57,242.57,242.5712128731169,256.68,14.11,0.0
66,C66,7,True,False,True,248.34,248.34,248.34158003512968,271.82,23.48,0.0
67,C67,30,True,False,True,249.46,249.46,249.46914784897723,308.22,58.75,0.01
68,C68,6,True,False,True,250.32,250.33,250.33621634036345,282.02,31.68,0.02
69,C69,22,True,False,True,253.72,253.72,253.72013187208802,261.68,7.96,0.0
70,C70,34,True,False,True,254.12,254.13,254.13916499223112,298.83,44.69,0.02
71,C71,2,True,False,True,262.78,262.79,262.7918791976021,267.13,4.34,0.01
72,C72,18,True,False,True,266.73,266.74,266.7477673000242,272.18,5.43,0.02
73,C73,7,True,False,True,271.87,271.88,271.8845755828463,300.34,28.46,0.01
74,C74,22,True,False,True,271.94,271.94,271.9448141705343,280.13,8.19,0.01
75,C75,31,True,False,True,275.55,275.55,275.55306995654803,312.15,36.6,0.01
76,C76,17,True,False,True,278.8,278.81,278.811612831065,291.71,12.9,0.01
77,C77,28,True,False,True,279.5,279.5,279.50132906689566,289.25,9.75,0.01
78,C78,22,True,False,True,280.16,280.16,280.1699344963939,485.05,204.88,0.01
79,C79,23,True,False,True,284.92,284.92,284.92521729741003,286.17,1.24,0.01
80,C80,23,True,False,True,286.45,286.46,286.46913720665367,317.61,31.14,0.02
81,C81,25,True,False,True,291.16,291.17,291.17273622511175,292.36,1.18,0.01
82,C82,33,True,False,True,294.4,294.4,294.4016914585367,337.24,42.84,0.01
83,C83,37,True,False,True,296.37,296.37,296.375902326653,304.22,7.84,0.01
84,C84,35,True,False,True,306.73,306.74,306.74712707659666,309.57,2.82,0.01
85,C85,20,True,False,True,314.11,314.11,314.11734228009624,345.48,31.36,0.01
86,C86,32,True,False,True,315.87,315.88,315.8824916244204,355.45,39.57,0.01
87,C87,35,True,False,True,316.05,316.06,316.06090512894866,350.07,34.0,0.01
88,C88,19,True,False,True,317.51,317.51,317.5128797334305,319.11,1.6,0.01
89,C89,24,True,False,True,319.54,319.54,319.5487289931685,330.01,10.46,0.01
90,C90,6,True,False,True,324.42,324.43,324.43217032861935,342.43,17.99,0.01
91,C91,20,True,False,True,345.91,345.92,345.92941760557954,356.08,10.15,0.02
92,C92,30,True,False,True,347.67,347.68,347.68374353546477,397.59,49.9,0.01
93,C93,11,True,False,True,353.42,353.43,353.4370276551403,357.65,4.22,0.01
94,C94,10,True,False,True,357.02,357.03,357.03722806343615,385.45,28.42,0.02
95,C95,2,True,False,True,361.73,361.73,361.7334959593263,494.96,133.23,0.01
96,C96,15,True,False,True,362.38,362.39,362.39676684166386,432.25,69.85,0.01
97,C97,20,True,False,True,364.42,364.42,364.42197966868673,371.96,7.54,0.0
98,C98,24,True,False,True,365.52,365.53,365.5340983598558,365.54,0.0,0.01
99,C99,6,True,False,True,367.2,367.21,367.2197426629111,485.49,118.27,0.02
100,C100,26,True,False,True,370.08,370.09,370.0993187620075,434.39,64.29,0.02
101,C101,29,True,False,True,374.48,374.48,374.4846254686832,450.06,75.57,0.01
102,C102,31,True,False,True,374.92,374.93,374.9352692321319,391.05,16.11,0.01
103,C103,32,True,False,True,375.49,375.49,375.49291662402914,416.44,40.95,0.01
104,C104,12,True,False,True,377.04,377.04,377.04018816891505,384.22,7.18,0.0
105,C105,20,True,False,True,381.37,381.38,381.3871838868636,396.33,14.94,0.01
106,C106,9,True,False,True,388.87,388.87,388.8702090635149,446.1,57.22,0.0
107,C107,10,True,False,True,392.09,392.1,392.1035976225737,396.2,4.1,0.01
108,C108,30,True,False,True,399.8,399.81,399.8168615251607,467.11,67.29,0.02
109,C109,34,True,False,True,401.75,401.75,401.7557240300548,422.34,20.59,0.01
110,C110,36,True,False,True,403.27,403.27,403.2749123944024,419.93,16.66,0.01
111,C111,4,True,False,True,405.02,405.02,405.0297760362046,415.97,10.94,0.01
112,C112,37,True,False,True,405.77,405.77,405.77260995872507,480.39,74.61,0.0
113,C113,18,True,False,True,412.84,412.84,412.84106120796315,434.71,21.87,0.0
114,C114,39,True,False,True,414.49,414.5,414.50379334628116,463.4,48.89,0.01
115,C115,4,True,False,True,417.71,417.71,417.7129936661105,476.2,58.48,0.01
116,C116,17,True,False,True,421.16,421.17,421.17133029881796,497.85,76.68,0.01
117,C117,12,True,False,True,424.11,424.12,424.12177096479485,434.97,10.85,0.01
118,C118,14,True,False,True,424.12,424.13,424.1344058565698,436.59,12.46,0.01
119,C119,16,True,False,True,441.93,441.93,441.9320163412037,469.05,27.12,0.0
120,C120,1,True,False,True,451.36,451.36,451.3616290711668,468.83,17.47,0.0
121,C121,29,True,False,True,452.29,452.3,452.30930906388954,533.33,81.02,0.02
122,C122,7,True,False,True,453.67,453.68,453.6825426064266,468.89,15.2,0.01
123,C123,26,True,False,True,456.61,456.62,456.6232434736202,476.11,19.49,0.01
124,C124,21,True,False,True,465.9,465.9,465.9014664782632,494.71,28.81,0.0
125,C125,10,True,False,True,482.35,482.35,482.35748803558005,497.92,15.56,0.01
126,C126,19,True,False,True,483.54,483.54,483.5415544259785,630.24,146.7,0.0
127,C127,13,True,False,True,486.86,486.87,486.87064518781744,489.99,3.12,0.01
128,C128,4,True,False,True,493.44,493.45,493.4567546100203,500.93,7.48,0.02
129,C129,2,True,False,True,495.45,495.45,495.4511847350386,507.14,11.69,0.0
130,C130,12,True,False,True,500.7,500.71,500.7172044445723,505.51,4.8,0.02
131,C131,4,True,False,True,501.4,501.41,501.4138088988224,511.45,10.03,0.01
132,C132,24,True,False,True,505.08,505.08,505.087454835031,550.41,45.32,0.01
133,C133,28,True,False,True,513.11,513.12,513.1292005916049,535.33,22.2,0.02
134,C134,36,True,False,True,529.53,529.54,529.542485941838,530.58,1.04,0.01
135,C135,38,True,False,True,529.86,529.87,529.8704740487444,651.45,121.58,0.01
136,C136,42,True,False,True,532.1,532.11,532.1117509523781,560.83,28.71,0.01
137,C137,44,True,False,True,533.02,533.02,533.0255455773172,534.85,1.82,0.01
138,C138,0,True,False,True,535.41,535.42,535.4297999632124,567.9,32.47,0.02
139,C139,28,True,False,True,538.59,538.59,538.5960150255264,552.86,14.26,0.01
140,C140,34,True,False,True,538.98,538.98,538.9839690972515,543.36,4.37,0.01
141,C141,1,True,False,True,540.39,540.39,540.3942877320068,565.27,24.88,0.01
142,C142,10,True,False,True,550.89,550.89,550.8969812695632,589.85,38.96,0.01
143,C143,4,True,False,True,554.26,554.26,554.266726087488,587.63,33.36,0.01
144,C144,5,True,False,True,556.7,556.71,556.7103265784662,565.24,8.53,0.01
145,C145,30,True,False,True,562.3,562.31,562.3151232052062,584.64,22.32,0.01
146,C146,31,True,False,True,567.72,567.73,567.7370448224194,590.88,23.14,0.02
147,C147,0,True,False,True,567.92,567.92,567.9273943876002,605.78,37.85,0.01
148,C148,12,True,False,True,572.85,572.86,572.8618309866214,586.24,13.38,0.01
149,C149,1,True,False,True,580.16,580.17,580.1794864374209,628.12,47.94,0.01
150,C150,9,True,False,True,580.89,580.9,580.9099160005003,610.57,29.66,0.02
151,C151,12,True,False,True,586.97,586.97,586.9742266913927,588.15,1.17,0.01
152,C152,12,True,False,True,588.32,588.32,588.3267944988412,612.05,23.72,0.01
153,C153,17,True,False,True,589.78,589.78,589.7809991155095,649.18,59.4,0.0
154,C154,23,True,False,True,594.16,594.16,594.1604476509424,619.31,25.15,0.0
